x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00
0.741841,0.232928,0.246907,0.261212,0.275826,0.290731,0.305908,0.321339,0.337005,0.352888,0.368967,0.385224,0.401638,0.418189,0.434858,0.451623,0.468465
0.727856,-0.408820,-0.384180,-0.358921,-0.333074,-0.306672,-0.279746,-0.252328,-0.224453,-0.196155,-0.167467,-0.138425,-0.109064,-0.079420,-0.049529,-0.019427,0.010848
0.713645,0.210764,0.226315,0.242178,0.258333,0.274761,0.291442,0.308356,0.325481,0.342797,0.360283,0.377918,0.395680,0.413547,0.431499,0.449512,0.467564
0.699224,-0.424105,-0.397542,-0.370385,-0.342669,-0.314426,-0.285691,-0.256500,-0.226887,-0.196889,-0.166542,-0.135883,-0.104950,-0.073781,-0.042412,-0.010884,0.020767
0.684607,0.188811,0.206030,0.223543,0.241328,0.259364,0.277629,0.296100,0.314755,0.333571,0.352526,0.371596,0.390757,0.409988,0.429263,0.448561,0.467856
0.669808,-0.441476,-0.412844,-0.383647,-0.353921,-0.323702,-0.293027,-0.261934,-0.230459,-0.198642,-0.166521,-0.134136,-0.101525,-0.068729,-0.035788,-0.002741,0.030370
0.654843,0.166875,0.185871,0.205138,0.224653,0.244391,0.264329,0.284443,0.304708,0.325099,0.345592,0.366161,0.386781,0.407428,0.428076,0.448700,0.469275
0.639727,-0.460994,-0.430130,-0.398735,-0.366845,-0.334500,-0.301739,-0.268603,-0.235131,-0.201364,-0.167343,-0.133111,-0.098708,-0.064176,-0.029559,0.005104,0.039768
0.624475,0.144793,0.165688,0.186826,0.208182,0.229729,0.251442,0.273294,0.295259,0.317309,0.339417,0.361558,0.383703,0.405826,0.427900,0.449898,0.471793
0.609102,-0.482724,-0.449448,-0.415677,-0.381452,-0.346815,-0.311807,-0.276472,-0.240853,-0.204993,-0.168935,-0.132724,-0.096404,-0.060018,-0.023612,0.012771,0.049085
0.593624,0.122435,0.145365,0.168506,0.191828,0.215304,0.238904,0.262601,0.286365,0.310168,0.333979,0.357771,0.381514,0.405180,0.428739,0.452163,0.475423
0.578056,-0.506725,-0.470835,-0.434492,-0.397741,-0.360627,-0.323195,-0.285490,-0.247559,-0.209447,-0.171201,-0.132868,-0.094494,-0.056127,-0.017812,0.020404,0.058473
0.562414,0.099709,0.124828,0.150117,0.175546,0.201083,0.226697,0.252357,0.278031,0.303690,0.329300,0.354831,0.380252,0.405533,0.430641,0.455546,0.480219
0.546714,-0.533036,-0.494306,-0.455174,-0.415686,-0.375890,-0.335837,-0.295573,-0.255148,-0.214612,-0.174013,-0.133402,-0.092827,-0.052339,-0.011986,0.028183,0.068117
0.530971,0.076573,0.104052,0.131653,0.159343,0.187088,0.214854,0.242607,0.270314,0.297941,0.325454,0.352820,0.380005,0.406976,0.433701,0.460146,0.486280
0.515201,-0.561653,-0.519833,-0.477668,-0.435209,-0.392508,-0.349616,-0.306585,-0.263469,-0.220320,-0.177190,-0.134133,-0.091199,-0.048442,-0.005914,0.036333,0.078249
0.499419,0.053061,0.083088,0.113180,0.143301,0.173414,0.203483,0.233471,0.263342,0.293058,0.322585,0.351885,0.380923,0.409665,0.438074,0.466116,0.493758
0.483642,-0.592483,-0.547298,-0.501835,-0.456148,-0.410294,-0.364328,-0.318307,-0.272286,-0.226322,-0.180470,-0.134786,-0.089327,-0.044147,0.000699,0.045155,0.089168
0.467884,0.029332,0.062110,0.094886,0.127621,0.160275,0.192807,0.225179,0.257350,0.289282,0.320935,0.352272,0.383254,0.413842,0.444001,0.473692,0.502881
0.452161,-0.625232,-0.576384,-0.527336,-0.478147,-0.428878,-0.379588,-0.330339,-0.281188,-0.232198,-0.183426,-0.134934,-0.086779,-0.039020,0.008284,0.055076,0.101298
0.436490,0.005841,0.041582,0.077242,0.112777,0.148144,0.183300,0.218202,0.252808,0.287075,0.320962,0.354427,0.387429,0.419929,0.451887,0.483263,0.514021
0.420884,-0.658919,-0.606109,-0.553191,-0.500229,-0.447288,-0.394433,-0.341727,-0.289235,-0.237022,-0.185149,-0.133682,-0.082682,-0.032211,0.017668,0.066896,0.115412
0.405370,-0.015358,0.023507,0.062196,0.100663,0.138861,0.176743,0.214262,0.251375,0.288034,0.324195,0.359815,0.394850,0.429257,0.462995,0.496021,0.528297
0.390015,-0.690683,-0.633716,-0.576748,-0.519847,-0.463083,-0.406525,-0.350243,-0.294304,-0.238777,-0.183730,-0.129229,-0.075341,-0.022132,0.030334,0.081993,0.132781
0.374827,-0.034871,0.007303,0.049191,0.090742,0.131907,0.172634,0.212875,0.252579,0.291700,0.330189,0.367999,0.405084,0.441400,0.476901,0.511545,0.545289
0.359766,-0.730648,-0.668905,-0.607287,-0.545867,-0.484720,-0.423921,-0.363544,-0.303663,-0.244350,-0.185678,-0.127718,-0.070542,-0.014217,0.041186,0.095601,0.148960
0.344846,-0.061566,-0.015521,0.030108,0.075265,0.119895,0.163944,0.207359,0.250085,0.292072,0.333268,0.373623,0.413088,0.451615,0.489156,0.525666,0.561100
0.330082,-0.778242,-0.711036,-0.644103,-0.577524,-0.511380,-0.445752,-0.380719,-0.316362,-0.252758,-0.189985,-0.128120,-0.067237,-0.007411,0.051285,0.108780,0.165003
0.315488,-0.091594,-0.041168,0.008684,0.057903,0.106427,0.154198,0.201158,0.247249,0.292415,0.336601,0.379754,0.421821,0.462750,0.502492,0.540998,0.578221
0.301076,-0.832358,-0.758941,-0.685975,-0.613550,-0.541754,-0.470674,-0.400397,-0.331009,-0.262594,-0.195235,-0.129015,-0.064015,-0.000312,0.062014,0.122889,0.182237
0.286860,-0.124453,-0.069078,-0.014467,0.039315,0.092200,0.144125,0.195027,0.244844,0.293515,0.340980,0.387182,0.432064,0.475573,0.517654,0.558257,0.597332
