x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00,Cp_alpha_11.00,Cp_alpha_12.00,Cp_alpha_13.00,Cp_alpha_14.00,Cp_alpha_15.00,Cp_alpha_16.00,Cp_alpha_17.00,Cp_alpha_18.00,Cp_alpha_19.00,Cp_alpha_20.00
0.389782,-0.319403,-0.377997,-0.437005,-0.496358,-0.555981,-0.615804,-0.675752,-0.735753,-0.795733,-0.855620,-0.915341,-0.974822,-1.033992,-1.092778,-1.151109,-1.208913,-1.266120,-1.322661,-1.378467,-1.433469,-1.487600,-1.540796,-1.592990,-1.644119,-1.694121,-1.742935
0.405311,0.232885,0.190135,0.146733,0.102731,0.058183,0.013143,-0.032334,-0.078193,-0.124377,-0.170831,-0.217497,-0.264319,-0.311241,-0.358204,-0.405151,-0.452026,-0.498771,-0.545329,-0.591644,-0.637659,-0.683318,-0.728566,-0.773347,-0.817606,-0.861291,-0.904346
0.420936,-0.317019,-0.371726,-0.426694,-0.481856,-0.537145,-0.592493,-0.647833,-0.703097,-0.758218,-0.813130,-0.867764,-0.922055,-0.975936,-1.029342,-1.082208,-1.134469,-1.186061,-1.236922,-1.286990,-1.336203,-1.384503,-1.431829,-1.478124,-1.523333,-1.567399,-1.610269
0.436641,0.231667,0.191708,0.151241,0.110315,0.068980,0.027286,-0.014716,-0.056974,-0.099438,-0.142055,-0.184774,-0.227543,-0.270308,-0.313019,-0.355624,-0.398070,-0.440305,-0.482279,-0.523939,-0.565237,-0.606120,-0.646539,-0.686445,-0.725790,-0.764525,-0.802603
0.452409,-0.313889,-0.364998,-0.416234,-0.467536,-0.518841,-0.570087,-0.621211,-0.672151,-0.722844,-0.773230,-0.823246,-0.872831,-0.921926,-0.970471,-1.018405,-1.065672,-1.112213,-1.157972,-1.202892,-1.246920,-1.290001,-1.332083,-1.373114,-1.413046,-1.451829,-1.489415
0.468225,0.232226,0.194892,0.157174,0.119117,0.080769,0.042175,0.003383,-0.035561,-0.074608,-0.113710,-0.152822,-0.191894,-0.230879,-0.269729,-0.308398,-0.346838,-0.385003,-0.422845,-0.460319,-0.497380,-0.533981,-0.570078,-0.605628,-0.640587,-0.674912,-0.708562
0.484073,-0.310281,-0.358051,-0.405835,-0.453573,-0.501209,-0.548683,-0.595939,-0.642918,-0.689564,-0.735819,-0.781627,-0.826933,-0.871680,-0.915815,-0.959284,-1.002034,-1.044013,-1.085169,-1.125453,-1.164815,-1.203208,-1.240584,-1.276898,-1.312107,-1.346166,-1.379035
0.499937,0.234345,0.199481,0.164340,0.128964,0.093395,0.057678,0.021856,-0.014027,-0.049928,-0.085803,-0.121609,-0.157301,-0.192836,-0.228171,-0.263262,-0.298068,-0.332546,-0.366653,-0.400348,-0.433590,-0.466338,-0.498554,-0.530196,-0.561228,-0.591610,-0.621307
0.515801,-0.306424,-0.351091,-0.395673,-0.440114,-0.484361,-0.528359,-0.572056,-0.615398,-0.658332,-0.700805,-0.742767,-0.784165,-0.824950,-0.865072,-0.904482,-0.943131,-0.980974,-1.017963,-1.054053,-1.089202,-1.123365,-1.156501,-1.188571,-1.219534,-1.249353,-1.277991
0.531649,0.237850,0.205313,0.172589,0.139720,0.106744,0.073702,0.040635,0.007582,-0.025416,-0.058319,-0.091086,-0.123679,-0.156057,-0.188180,-0.220010,-0.251508,-0.282636,-0.313355,-0.343628,-0.373418,-0.402689,-0.431406,-0.459532,-0.487035,-0.513880,-0.540035
0.547465,-0.302511,-0.344289,-0.385895,-0.427278,-0.468387,-0.509173,-0.549586,-0.589577,-0.629097,-0.668098,-0.706532,-0.744352,-0.781513,-0.817969,-0.853675,-0.888589,-0.922667,-0.955869,-0.988153,-1.019481,-1.049814,-1.079115,-1.107348,-1.134480,-1.160477,-1.185307
0.563233,0.242610,0.212266,0.181814,0.151293,0.120739,0.090190,0.059683,0.029255,-0.001057,-0.031215,-0.061184,-0.090927,-0.120407,-0.149589,-0.178436,-0.206915,-0.234989,-0.262626,-0.289791,-0.316450,-0.342573,-0.368126,-0.393079,-0.417402,-0.441064,-0.464037
0.578938,-0.298702,-0.337784,-0.376618,-0.415158,-0.453355,-0.491165,-0.528540,-0.565435,-0.601805,-0.637606,-0.672794,-0.707327,-0.741161,-0.774257,-0.806574,-0.838071,-0.868712,-0.898459,-0.927274,-0.955125,-0.981975,-1.007793,-1.032547,-1.056208,-1.078745,-1.100132
0.594563,0.248533,0.220259,0.191947,0.163630,0.135344,0.107122,0.079001,0.051012,0.023192,-0.004427,-0.031811,-0.058926,-0.085739,-0.112218,-0.138331,-0.164045,-0.189329,-0.214153,-0.238486,-0.262298,-0.285562,-0.308247,-0.330327,-0.351774,-0.372564,-0.392669
0.610092,-0.295130,-0.331690,-0.367937,-0.403826,-0.439314,-0.474357,-0.508913,-0.542939,-0.576395,-0.609239,-0.641431,-0.672932,-0.703705,-0.733710,-0.762912,-0.791275,-0.818765,-0.845348,-0.870991,-0.895664,-0.919336,-0.941979,-0.963565,-0.984067,-1.003461,-1.021724
0.625511,0.255569,0.229253,0.202957,0.176714,0.150555,0.124512,0.098618,0.072903,0.047399,0.022138,-0.002851,-0.027537,-0.051890,-0.075879,-0.099476,-0.122653,-0.145380,-0.167630,-0.189376,-0.210592,-0.231251,-0.251329,-0.270801,-0.289643,-0.307832,-0.325347
0.640803,-0.291901,-0.326098,-0.359923,-0.393336,-0.426295,-0.458761,-0.490693,-0.522054,-0.552804,-0.582906,-0.612324,-0.641022,-0.668964,-0.696117,-0.722448,-0.747925,-0.772516,-0.796191,-0.818922,-0.840682,-0.861442,-0.881179,-0.899869,-0.917487,-0.934014,-0.949428
0.655954,0.263704,0.239243,0.214853,0.190564,0.166406,0.142407,0.118598,0.095007,0.071663,0.048594,0.025829,0.003395,-0.018680,-0.040370,-0.061648,-0.082489,-0.102866,-0.122755,-0.142132,-0.160973,-0.179255,-0.196956,-0.214055,-0.230530,-0.246361,-0.261530
0.670947,-0.289105,-0.321081,-0.352635,-0.383728,-0.414321,-0.444378,-0.473862,-0.502737,-0.530968,-0.558521,-0.585362,-0.611458,-0.636777,-0.661289,-0.684963,-0.707772,-0.729687,-0.750681,-0.770729,-0.789806,-0.807890,-0.824957,-0.840988,-0.855963,-0.869864,-0.882673
0.685768,0.272960,0.250261,0.227676,0.205234,0.182961,0.160885,0.139033,0.117431,0.096106,0.075083,0.054388,0.034046,0.014083,-0.005478,-0.024612,-0.043297,-0.061510,-0.079228,-0.096430,-0.113094,-0.129201,-0.144732,-0.159666,-0.173986,-0.187674,-0.200715
0.700402,-0.286819,-0.316704,-0.346121,-0.375034,-0.403408,-0.431209,-0.458401,-0.484953,-0.510831,-0.536005,-0.560444,-0.584117,-0.606997,-0.629055,-0.650264,-0.670598,-0.690034,-0.708546,-0.726113,-0.742712,-0.758325,-0.772931,-0.786514,-0.799056,-0.810542,-0.820958
0.714835,0.283397,0.262374,0.241503,0.220810,0.200319,0.180055,0.160044,0.140309,0.120874,0.101764,0.083001,0.064609,0.046609,0.029024,0.011876,-0.004816,-0.021030,-0.036748,-0.051948,-0.066615,-0.080728,-0.094272,-0.107229,-0.119584,-0.131322,-0.142429
0.729050,-0.285116,-0.313027,-0.340430,-0.367290,-0.393577,-0.419256,-0.444298,-0.468671,-0.492346,-0.515295,-0.537488,-0.558899,-0.579502,-0.599272,-0.618185,-0.636218,-0.653348,-0.669555,-0.684820,-0.699122,-0.712446,-0.724775,-0.736094,-0.746389,-0.755647,-0.763857
0.743035,0.295107,0.275684,0.256443,0.237410,0.218606,0.200054,0.181778,0.163800,0.146141,0.128823,0.111867,0.095294,0.079124,0.063377,0.048071,0.033226,0.018859,0.004989,-0.008369,-0.021197,-0.033481,-0.045204,-0.056354,-0.066916,-0.076877,-0.086225
0.756776,-0.284072,-0.310116,-0.335616,-0.360539,-0.384857,-0.408539,-0.431557,-0.453882,-0.475488,-0.496348,-0.516436,-0.535728,-0.554201,-0.571832,-0.588600,-0.604483,-0.619464,-0.633523,-0.646644,-0.658810,-0.670007,-0.680220,-0.689438,-0.697650,-0.704845,-0.711014
0.770257,0.308220,0.290324,0.272638,0.255183,0.237980,0.221050,0.204414,0.188091,0.172103,0.156467,0.141204,0.126332,0.111869,0.097833,0.084240,0.071108,0.058452,0.046288,0.034630,0.023494,0.012891,0.002836,-0.006660,-0.015584,-0.023927,-0.031677
0.783467,-0.283783,-0.308057,-0.331755,-0.354846,-0.377304,-0.399101,-0.420209,-0.440605,-0.460262,-0.479156,-0.497266,-0.514568,-0.531041,-0.546666,-0.561424,-0.575296,-0.588265,-0.600316,-0.611435,-0.621607,-0.630820,-0.639062,-0.646325,-0.652599,-0.657876,-0.662150
0.796391,0.322898,0.306466,0.290265,0.274315,0.258634,0.243241,0.228156,0.213398,0.198983,0.184929,0.171254,0.157974,0.145106,0.132665,0.120666,0.109123,0.098052,0.087465,0.077376,0.067796,0.058737,0.050211,0.042227,0.034796,0.027927,0.021627
0.809017,-0.284373,-0.306967,-0.328956,-0.350312,-0.371009,-0.391022,-0.410327,-0.428900,-0.446718,-0.463760,-0.480005,-0.495433,-0.510025,-0.523764,-0.536633,-0.548616,-0.559699,-0.569867,-0.579110,-0.587415,-0.594772,-0.601172,-0.606608,-0.611073,-0.614562,-0.617070
0.821331,0.339347,0.324320,0.309540,0.295025,0.280793,0.266861,0.253246,0.239965,0.227034,0.214469,0.202285,0.190497,0.179119,0.168165,0.157648,0.147582,0.137978,0.128848,0.120204,0.112056,0.104413,0.097286,0.090682,0.084610,0.079078,0.074091
0.833322,-0.286017,-0.307017,-0.327384,-0.347094,-0.366122,-0.384446,-0.402043,-0.418892,-0.434972,-0.450263,-0.464748,-0.478408,-0.491227,-0.503188,-0.514279,-0.524484,-0.533791,-0.542190,-0.549670,-0.556222,-0.561838,-0.566511,-0.570235,-0.573006,-0.574820,-0.575675
0.844977,0.357818,0.344140,0.330721,0.317578,0.304727,0.292183,0.279962,0.268079,0.256549,0.245384,0.234599,0.224208,0.214222,0.204654,0.195515,0.186817,0.178570,0.170785,0.163470,0.156635,0.150287,0.144436,0.139087,0.134248,0.129924,0.126121
0.856284,-0.288971,-0.308456,-0.327283,-0.345431,-0.362877,-0.379600,-0.395580,-0.410796,-0.425231,-0.438867,-0.451687,-0.463676,-0.474819,-0.485103,-0.494514,-0.503042,-0.510676,-0.517407,-0.523227,-0.528128,-0.532104,-0.535152,-0.537266,-0.538445,-0.538687,-0.537991
0.867233,0.378620,0.366238,0.354124,0.342293,0.330758,0.319535,0.308636,0.298075,0.287864,0.278017,0.268545,0.259459,0.250772,0.242493,0.234632,0.227199,0.220203,0.213653,0.207557,0.201921,0.196754,0.192060,0.187847,0.184118,0.180880,0.178134
0.877812,-0.293606,-0.311654,-0.329022,-0.345689,-0.361635,-0.376841,-0.391288,-0.404959,-0.417836,-0.429905,-0.441150,-0.451558,-0.461116,-0.469812,-0.477637,-0.484579,-0.490632,-0.495787,-0.500038,-0.503380,-0.505809,-0.507322,-0.507917,-0.507594,-0.506352,-0.504194
0.888010,0.402135,0.391001,0.380139,0.369561,0.359281,0.349312,0.339665,0.330352,0.321385,0.312774,0.304531,0.296664,0.289183,0.282099,0.275419,0.269151,0.263303,0.257883,0.252896,0.248350,0.244248,0.240598,0.237402,0.234665,0.232390,0.230579
0.897818,-0.300476,-0.317164,-0.333151,-0.348418,-0.362945,-0.376716,-0.389713,-0.401921,-0.413324,-0.423910,-0.433664,-0.442575,-0.450632,-0.457826,-0.464147,-0.469589,-0.474143,-0.477805,-0.480571,-0.482436,-0.483399,-0.483458,-0.482614,-0.480867,-0.478220,-0.474676
0.907225,0.428847,0.418913,0.409250,0.399871,0.390786,0.382007,0.373544,0.365407,0.357607,0.350153,0.343055,0.336320,0.329957,0.323974,0.318377,0.313175,0.308373,0.303976,0.299992,0.296423,0.293275,0.290551,0.288256,0.286390,0.284958,0.283960
0.916222,-0.310416,-0.325826,-0.340513,-0.354461,-0.367651,-0.380068,-0.391697,-0.402524,-0.412534,-0.421717,-0.430061,-0.437556,-0.444192,-0.449962,-0.454858,-0.458875,-0.462007,-0.464252,-0.465605,-0.466066,-0.465634,-0.464310,-0.462094,-0.458990,-0.455002,-0.450134
0.924800,0.459381,0.450600,0.442086,0.433849,0.425899,0.418246,0.410899,0.403867,0.397158,0.390781,0.384743,0.379052,0.373715,0.368739,0.364129,0.359890,0.356029,0.352550,0.349456,0.346753,0.344442,0.342528,0.341012,0.339896,0.339181,0.338869
0.932950,-0.324716,-0.338936,-0.352411,-0.365126,-0.377065,-0.388214,-0.398558,-0.408086,-0.416786,-0.424647,-0.431659,-0.437814,-0.443105,-0.447525,-0.451069,-0.453732,-0.455511,-0.456404,-0.456410,-0.455529,-0.453761,-0.451110,-0.447578,-0.443170,-0.437891,-0.431747
0.940664,0.494560,0.486886,0.479470,0.472319,0.465444,0.458851,0.452550,0.446548,0.440852,0.435469,0.430406,0.425669,0.421264,0.417195,0.413469,0.410089,0.407059,0.404384,0.402067,0.400110,0.398516,0.397286,0.396423,0.395928,0.395800,0.396040
0.947934,-0.345440,-0.358571,-0.370933,-0.382513,-0.393295,-0.403268,-0.412418,-0.420735,-0.428208,-0.434829,-0.440588,-0.445481,-0.449499,-0.452639,-0.454897,-0.456269,-0.456755,-0.456353,-0.455064,-0.452890,-0.449833,-0.445898,-0.441088,-0.435409,-0.428870,-0.421476
0.954753,0.535489,0.528876,0.522504,0.516383,0.510519,0.504920,0.499592,0.494542,0.489776,0.485300,0.481120,0.477240,0.473665,0.470399,0.467447,0.464812,0.462498,0.460506,0.458840,0.457502,0.456493,0.455814,0.455466,0.455451,0.455767,0.456414
0.961114,-0.376036,-0.388202,-0.399572,-0.410132,-0.419870,-0.428774,-0.436833,-0.444036,-0.450376,-0.455844,-0.460434,-0.464140,-0.466958,-0.468884,-0.469917,-0.470053,-0.469295,-0.467642,-0.465096,-0.461661,-0.457340,-0.452140,-0.446066,-0.439125,-0.431327,-0.422681
0.967011,0.583670,0.578068,0.572688,0.567535,0.562616,0.557937,0.553505,0.549323,0.545398,0.541734,0.538335,0.535206,0.532351,0.529772,0.527474,0.525459,0.523729,0.522286,0.521133,0.520270,0.519699,0.519421,0.519435,0.519742,0.520341,0.521232
0.972437,-0.422666,-0.434037,-0.444576,-0.454270,-0.463108,-0.471078,-0.478172,-0.484380,-0.489696,-0.494111,-0.497622,-0.500224,-0.501913,-0.502688,-0.502548,-0.501492,-0.499522,-0.496641,-0.492852,-0.488160,-0.482569,-0.476088,-0.468724,-0.460486,-0.451385,-0.441430
0.977388,0.641152,0.636512,0.632064,0.627814,0.623769,0.619931,0.616307,0.612901,0.609716,0.606757,0.604028,0.601531,0.599269,0.597246,0.595464,0.593925,0.592630,0.591582,0.590782,0.590231,0.589929,0.589877,0.590074,0.590522,0.591218,0.592162
0.981858,-0.497553,-0.508385,-0.518334,-0.527388,-0.535535,-0.542767,-0.549073,-0.554447,-0.558882,-0.562372,-0.564913,-0.566502,-0.567138,-0.566818,-0.565545,-0.563319,-0.560142,-0.556020,-0.550956,-0.544958,-0.538032,-0.530187,-0.521432,-0.511778,-0.501237,-0.489822
0.985843,0.710756,0.707025,0.703449,0.700033,0.696782,0.693698,0.690787,0.688051,0.685494,0.683118,0.680928,0.678925,0.677112,0.675491,0.674064,0.672833,0.671799,0.670964,0.670329,0.669894,0.669660,0.669627,0.669795,0.670164,0.670734,0.671504
0.989338,-0.629307,-0.640062,-0.649850,-0.658659,-0.666479,-0.673299,-0.679112,-0.683911,-0.687689,-0.690443,-0.692168,-0.692862,-0.692526,-0.691158,-0.688762,-0.685339,-0.680894,-0.675432,-0.668961,-0.661487,-0.653020,-0.643571,-0.633150,-0.621771,-0.609448,-0.596195
0.992341,0.796359,0.793494,0.790737,0.788089,0.785554,0.783136,0.780838,0.778661,0.776609,0.774684,0.772889,0.771225,0.769696,0.768302,0.767045,0.765927,0.764950,0.764114,0.763420,0.762870,0.762464,0.762202,0.762085,0.762112,0.762285,0.762603
0.994848,-0.904897,-0.916644,-0.927256,-0.936720,-0.945025,-0.952160,-0.958117,-0.962889,-0.966469,-0.968854,-0.970040,-0.970026,-0.968812,-0.966400,-0.962792,-0.957993,-0.952008,-0.944846,-0.936514,-0.927023,-0.916384,-0.904611,-0.891717,-0.877719,-0.862634,-0.846479
0.996856,0.901878,0.899918,0.898001,0.896129,0.894303,0.892526,0.890801,0.889128,0.887511,0.885952,0.884451,0.883012,0.881635,0.880323,0.879077,0.877899,0.876789,0.875750,0.874783,0.873888,0.873067,0.872322,0.871652,0.871058,0.870542,0.870104
0.998364,-1.740574,-1.757149,-1.772089,-1.785377,-1.796996,-1.806932,-1.815173,-1.821708,-1.826530,-1.829634,-1.831014,-1.830670,-1.828601,-1.824811,-1.819305,-1.812087,-1.803169,-1.792560,-1.780273,-1.766323,-1.750728,-1.733506,-1.714678,-1.694267,-1.672299,-1.648799
0.999371,0.999943,0.999874,0.999777,0.999654,0.999503,0.999326,0.999122,0.998892,0.998635,0.998353,0.998046,0.997714,0.997357,0.996976,0.996571,0.996143,0.995692,0.995219,0.994725,0.994210,0.993674,0.993119,0.992545,0.991952,0.991342,0.990715
