alpha_deg,c_L_KJ,c_L_P,c_M_LE,c_M_QC
-5.000000,-0.332465,-0.333090,0.030651,-0.052465
-4.000000,-0.209579,-0.210550,-0.001518,-0.053913
-3.000000,-0.086629,-0.087949,-0.033817,-0.055474
-2.000000,0.036347,0.034677,-0.066206,-0.057119
-1.000000,0.159312,0.157289,-0.098645,-0.058817
0.000000,0.282229,0.279850,-0.131096,-0.060538
1.000000,0.405059,0.402322,-0.163518,-0.062253
2.000000,0.527767,0.524668,-0.195872,-0.063930
3.000000,0.650313,0.646850,-0.228119,-0.065541
4.000000,0.772661,0.768831,-0.260219,-0.067054
5.000000,0.894774,0.890573,-0.292134,-0.068440
6.000000,1.016615,1.012040,-0.323824,-0.069670
7.000000,1.138146,1.133194,-0.355251,-0.070714
8.000000,1.259330,1.253998,-0.386376,-0.071543
9.000000,1.380130,1.374415,-0.417161,-0.072129
10.000000,1.500510,1.494408,-0.447570,-0.072443
